trait,attribute,family
pectoral region,filled with enlarged segments of reduced number,amphisbaenidae
dorsal segments per annulus,zero to eight more than ventral segments,amphisbaenidae
precloacal pore,faint but definite on each side of the precloacal shield,amphisbaenidae
shape of the segments along the posterior junction of the rostronasal,variable,amphisbaenidae
azygous,size varies by a factor of four,amphisbaenidae
postpectoral counts,"high, ranging from 244-324",amphisbaenidae
body vertebrae count,122-141,amphisbaenidae
pigmentation,evenly distributed over segments of the dorsal and lateral aspects and often extends to the dorsal head segments,amphisbaenidae
number of dermal annuli per vertebra,variable,amphisbaenidae
range of postpectorals,r =253297,amphisbaenidae
dorsal postpectorals,variable,amphisbaenidae
segments per annulus,variable,amphisbaenidae
pores,absent,amphisbaenidae
pectoral shields,"large, almost as long as wide",amphisbaenidae
supraocular shields,absent,amphisbaenidae
azygous and frontals,"not distinct, probably fused",amphisbaenidae
dorsal postpectoral half-annuli,259-295,amphisbaenidae
ventral postpectoral half-annuli,250-278,amphisbaenidae
supralabials,2/2,amphisbaenidae
infralabials,1/1,amphisbaenidae
"prefrontals, azygous, frontal, parietal, supraocular, temporal","not distinct, probably fused",amphisbaenidae
dorsal portion of head,with rostronasal and a unique and distinct shield,amphisbaenidae
specimens initially classified as rio-high,most strikingly distinct head and pectoral pattern,amphisbaenidae
"their head segmentation (figs. 3b, 9)",unique in having the cephalic area covered with only two very much enlarged and almost always keratinized shields,amphisbaenidae
occipital region,single row of much smaller and non-keratinized segments fringing,amphisbaenidae
precloacals pores,absent,amphisbaenidae
supraocular shields,present,amphisbaenidae
azygous shield,distinct of the frontal shields,amphisbaenidae
supralabials,2/2,amphisbaenidae
infralabials,2/2,amphisbaenidae
parietals,"not distinct, probably fused with frontals",amphisbaenidae
prefrontals,representing less than 27% of head length,amphisbaenidae
azygous,"relatively large, representing more than 58% of head width",amphisbaenidae
external eye,discrete ocular,amphisbaenidae
frontals,fused medially to form a v-shaped azygous shield,amphisbaenidae
supralabials,slightly less than three,amphisbaenidae
infralabials,three,amphisbaenidae
first postsupralabial,fused with postocular,amphisbaenidae
second postsupralabial,enormous and in medial contact with parietal,amphisbaenidae
third postsupralabial,narrow,amphisbaenidae
first postinfralabial,"narrow, in medial contact with enormous malar",amphisbaenidae
postgenials,"two rows, two to three segments in the first row, four irregularly (3-5) in the second",amphisbaenidae
postmalars,eight (7-10),amphisbaenidae
body annuli,232-257,amphisbaenidae
caudal annuli,20-26,amphisbaenidae
precloacal pores,four round,amphisbaenidae
autotomy site,at the 8th to 11th caudal annulus,amphisbaenidae
dorsal segments,12-16,amphisbaenidae
ventral segments,14-18,amphisbaenidae
size,medium (79-184 mm body length),amphisbaenidae
dorsal color,even brown,amphisbaenidae
segment color,center of each segment very slightly more densely colored,amphisbaenidae
anterior segments,blotchy pattern,amphisbaenidae
tail and trunk,more densely pigmented than the middle of the trunk,amphisbaenidae
caudal tips,very dark,amphisbaenidae
lateroventral edges of the tail,colorless,amphisbaenidae
ventral caudal surface,occasionally unpigmented,amphisbaenidae
the autotomy annulus and the adjacent annuli,densely pigmented,amphisbaenidae
the head shields,not differentially keratinized,amphisbaenidae
rostral shield,invisible in dorsal view,amphisbaenidae
dorsal surface of the head,"covered by four pairs of enlarged shields namely the nasals, prefrontals, (fused) frontals, and parietals",amphisbaenidae
nasals,always in broad contact along the dorsal midline,amphisbaenidae
prefrontals,in contact with first and second upper labials and the ocular,amphisbaenidae
frontals,medially fused to produce a single v-shaped shield,amphisbaenidae
parietals,"subtriangular, form the posteriormost enlarged pair",amphisbaenidae
dorsal portion of the first body annulus,formed by enormous postsupralabial and parietal shields,amphisbaenidae
rostral,broadly visible in ventral view,amphisbaenidae
lower jaw,"deep, partially inset into the ventral surface of the snout",amphisbaenidae
mental,"wide, slims down posteriorly",amphisbaenidae
postmental,shield-shaped,amphisbaenidae
second infralabials,much larger,amphisbaenidae
third infralabial,narrowly rectangular,amphisbaenidae
postinfralabial,smaller,amphisbaenidae
postgenial segments,"small, 2 (to 3) in first row, 3 (3-5) in the second and occasionally a third row with 4 to 5",amphisbaenidae
ventral portions of the second to fifth body annuli,narrowed,amphisbaenidae
trunk,"generally horizontally oval, slightly higher than wide just anterior to the cloacal region",amphisbaenidae
preocular region,vertically oval,amphisbaenidae
postcloacals,densely pigmented or not,amphisbaenidae
precloacal pores,generally substantial round to suboval,amphisbaenidae
size,generally small and slender,amphisbaenidae
snout-vent length,between 150 and 200 mm,amphisbaenidae
trunk,rounded and long,amphisbaenidae
conical and noncompressed head,no adjective,amphisbaenidae
enlarged shields,four pairs,amphisbaenidae
rostral shield,invisible in dorsal view,amphisbaenidae
oculars,discrete or fused to anterodorsal tip of second supralabial,amphisbaenidae
lower jaw,"covered with a small mental, a postmental, and three infralabials",amphisbaenidae
large postinfralabial or a small one with an enormous malar,no adjective,amphisbaenidae
pectoral scales,not differentiated,amphisbaenidae
lateral sulci,present,amphisbaenidae
oval precloacal pores,four to six,amphisbaenidae
caudal autotomy site,always present,amphisbaenidae
tip of tail,usually leading into unsegmented caudal cone,amphisbaenidae
skull,"""snout compressed, strongly bent. the premaxilla forms an anterior vertical keel. basipterygoid processes and supratemporals absent. partes posteriores choanarum present, sometimes reduced. quadrate rod-like""",amphisbaenidae
dentition,7 premaxillary; 4 maxillary; and 6-7 mandibular teeth,amphisbaenidae
four pairs of large shields behind the rostral,no adjective,amphisbaenidae
prognathous snout,"highly elongate, pointed, laterally compressed",amphisbaenidae
enlarged shields,no adjective,amphisbaenidae
nasals,"large, elongate",amphisbaenidae
nostrils,open lateroventrally,amphisbaenidae
prefrontals,"large, in point-contact with each other",amphisbaenidae
rostral,"very large, ascends full height of face",amphisbaenidae
frontal tip,triangular,amphisbaenidae
bluntly conical tail,"poorly marked autotomy annulus, doubled vertical keel on its distal surface",amphisbaenidae
precloacal pores,"four, arranged in two pairs",amphisbaenidae
head,"very elongate, highly domed",amphisbaenidae
rostral,"enormous, prevents the nasals and most of the prefrontals from medial contact",amphisbaenidae
frontals,extend significantly beyond the level of the angulus oris,amphisbaenidae
precloacal pores,"single, uninterrupted row of four",amphisbaenidae
autotomy constriction,poorly marked,amphisbaenidae
snout,"covered by the rostral, laterally compressed prognathous",amphisbaenidae
rostral tip and dorsal aspect of large specimens,markedly keratinized,amphisbaenidae
supralabials and infralabials,three,amphisbaenidae
mental,twice as long as the postmental,amphisbaenidae
second infralabial,the largest segment on the chin,amphisbaenidae
postgenial rows,three,amphisbaenidae
precloacal pores,"four, small, round, in an interrupted row on the anterolateral corners of each segment",amphisbaenidae
conically tail,"bluntly, has a poorly marked autotomy annulus at the sixth caudal annulus",amphisbaenidae
"unsegmented, produced, doubled vertical keel",no adjective,amphisbaenidae
body annuli,259-283,amphisbaenidae
caudal annuli,17-19,amphisbaenidae
dorsal segments/midbody annulus,12-14,amphisbaenidae
ventral segments/midbody annulus,12-15,amphisbaenidae
dorsal segments,"bear sharply defined, very dark spots",amphisbaenidae
ventral surface of the tail,pigmented,amphisbaenidae
deux grandes plaques sur le dessus de la tète,grande,amphisbaenidae
museau,contour horizontal arrondi,amphisbaenidae
rostrale,2 fois plus large que haute,amphisbaenidae
nasales,very elongated,amphisbaenidae
préoculaire,a bit larger than the ocular,amphisbaenidae
ocular,assez grande,amphisbaenidae
postoculaire,large,amphisbaenidae
labiales supérieures,"3, the 2nd the longest, about 2 ½ times as long as the 1st and in contact with the ocular, the 3rd higher and bordering the ocular",amphisbaenidae
occipitales,"4, the two median much smaller than the outer ones",amphisbaenidae
symphysiale,larger than the adjacent labials,amphisbaenidae
mentonnière hexagonale,large,amphisbaenidae
labiales inférieures,"3, the 3rd enormous",amphisbaenidae
queue,"long, rounded at the end",amphisbaenidae
anneaux sur le corps,289,amphisbaenidae
anneaux sur la queue,51,amphisbaenidae
un anneau au milieu du tronc,includes 47 segments (29 dorsal and 18 ventral),amphisbaenidae
2 segments ventraux médians,about 2 times wider than long,amphisbaenidae
grandes plaques pectorales allongées,"6, the 2 outer ones shorter than the median and totally divided",amphisbaenidae
segments préanaux,6,amphisbaenidae
two large shields covering the head,anterior much longer than posterior,amphisbaenidae
pair of occipitals,no adjective,amphisbaenidae
ocular,small,amphisbaenidae
eye,indistinguishable,amphisbaenidae
rostral,"separating the nasals, not bordering the nostrils",amphisbaenidae
nasals,"elongate, not reaching the ocular",amphisbaenidae
upper labials,"3, third largest",amphisbaenidae
mental,small,amphisbaenidae
postmental,"large, very variable , subhexagonal",amphisbaenidae
chin shields,2-4,amphisbaenidae
body annuli,182-222,amphisbaenidae
tail annuli,7-12,amphisbaenidae
segments in midbody annulus,36-46 (20-26 + 16-20),amphisbaenidae
median segments,broader than long,amphisbaenidae
pectorals,4-6,amphisbaenidae
anals,4-5,amphisbaenidae
preanal pores,0-0 or 1-1,amphisbaenidae
total length,284 (271 + 13) mm,amphisbaenidae
head,depressed,amphisbaenidae
snout,"projecting, sharp-edged",amphisbaenidae
nostril,inferior,amphisbaenidae
nasal,usually-elongate,amphisbaenidae
gular fold,no adjective,amphisbaenidae
lateral line,no adjective,amphisbaenidae
pectoral segments,enlarged,amphisbaenidae
preanal pores,present or absent,amphisbaenidae
tail,"cylindrical, obtuse",amphisbaenidae
species,derived,amphisbaenidae
pigmentation,complete absence,amphisbaenidae
dorsal head shield,usually entire with lateral notches,amphisbaenidae
lateral sutures,blind,amphisbaenidae
anterior postgenials,two or three,amphisbaenidae
large shields covering head,"the anterior equal to, or shorter than, the posterior",amphisbaenidae
pair of occipitals,present,amphisbaenidae
preocular,present or absent,amphisbaenidae
ocular,moderate or small,amphisbaenidae
rostral,"undivided, grooved anteriorly",amphisbaenidae
upper labials,"3, third largest",amphisbaenidae
postmental,"large, subcordiform",amphisbaenidae
chin shields,5,amphisbaenidae
body annuli,195-229,amphisbaenidae
tail annuli,17-22,amphisbaenidae
segments in mid-body annulus,16-18 (9-10 + 7-8),amphisbaenidae
median ventral segments,two and a half times as broad as long,amphisbaenidae
pectorals,4,amphisbaenidae
anals,6,amphisbaenidae
preanal pores,"0-0, 1-1, or 2-2",amphisbaenidae
premaxillary teeth,2-2 or 3-3,amphisbaenidae
maxillary teeth,3-3 or 4-4,amphisbaenidae
mandibular teeth,5-5 or 6-6,amphisbaenidae
coloration,uniformly white except for some plumbeous pigmentation,amphisbaenidae
vertebral line,forms an irregular line on the posterior two-thirds of the dorsum and tail,amphisbaenidae
large blotches,"on the tail, extends round to the lower surface",amphisbaenidae
total length,501 (466 + 35) mm,amphisbaenidae
large shields,one or two,amphisbaenidae
shields covering the head,"one or two, anterior much shorter than the posterior if two",amphisbaenidae
occipitals,a pair,amphisbaenidae
supraocular,present or absent,amphisbaenidae
preocular,present or absent,amphisbaenidae
ocular,"small, eye indistinguishable",amphisbaenidae
rostral,"separating the nasals, not or only just bordering the nostrils",amphisbaenidae
nasals,"elongate, reaching or not reaching the preocular",amphisbaenidae
upper labials,"3, second small, third largest",amphisbaenidae
mental,small,amphisbaenidae
postmental,"large, heptagonal, in contact with the first and second lower labials",amphisbaenidae
chin shields,"4, outer in contact with the second and third lower labials",amphisbaenidae
annuli on body,246-254,amphisbaenidae
annuli on tail,25-28,amphisbaenidae
segments in a midbody annulus,"28-38, the 2 median ventral segments much broader than long",amphisbaenidae
pectorals,4-6,amphisbaenidae
anals,6-8,amphisbaenidae
preanal pores,3-3 or 4-4,amphisbaenidae
premaxillary tooth,1,amphisbaenidae
maxillaries,2-2,amphisbaenidae
mandibulars,6-6,amphisbaenidae
total length,308 (275 + 33) mm,amphisbaenidae
